,precision,recall,f1-score,support
0,0.8507042253521127,0.94375,0.8948148148148148,320.0
1,0.9381443298969072,0.8374233128834356,0.8849270664505673,326.0
accuracy,0.8900928792569659,0.8900928792569659,0.8900928792569659,0.8900928792569659
macro avg,0.8944242776245099,0.8905866564417177,0.889870940632691,646.0
weighted avg,0.8948303462214672,0.8900928792569659,0.8898250222966342,646.0
