,precision,recall,f1-score,support
0,0.7813504823151125,0.759375,0.7702060221870048,320.0
1,0.7701492537313432,0.7914110429447853,0.7806354009077155,326.0
accuracy,0.7755417956656346,0.7755417956656346,0.7755417956656346,0.7755417956656346
macro avg,0.7757498680232279,0.7753930214723926,0.7754207115473601,646.0
weighted avg,0.7756978499338296,0.7755417956656346,0.77546914519467,646.0
