,precision,recall,f1-score,support
0,0.8010752688172043,0.93125,0.861271676300578,320.0
1,0.9197080291970803,0.7730061349693251,0.84,326.0
accuracy,0.8513931888544891,0.8513931888544891,0.8513931888544891,0.8513931888544891
macro avg,0.8603916490071423,0.8521280674846625,0.850635838150289,646.0
weighted avg,0.8609425751389373,0.8513931888544891,0.8505370532758281,646.0
