,precision,recall,f1-score,support
0,0.8944444444444445,0.503125,0.644,320.0
1,0.6587982832618026,0.941717791411043,0.7752525252525253,326.0
accuracy,0.7244582043343654,0.7244582043343654,0.7244582043343654,0.7244582043343654
macro avg,0.7766213638531235,0.7224213957055214,0.7096262626262626,646.0
weighted avg,0.7755270318352474,0.7244582043343654,0.7102357944772806,646.0
