,precision,recall,f1-score,support
0,0.8508771929824561,0.909375,0.879154078549849,320.0
1,0.9046052631578947,0.843558282208589,0.873015873015873,326.0
accuracy,0.8761609907120743,0.8761609907120743,0.8761609907120743,0.8761609907120743
macro avg,0.8777412280701754,0.8764666411042945,0.876084975782861,646.0
weighted avg,0.8779907392319808,0.8761609907120743,0.8760564701844058,646.0
