,precision,recall,f1-score,support
0,0.8653846153846154,0.84375,0.8544303797468354,320.0
1,0.8502994011976048,0.8711656441717791,0.8606060606060605,326.0
accuracy,0.8575851393188855,0.8575851393188855,0.8575851393188855,0.8575851393188855
macro avg,0.8578420082911101,0.8574578220858895,0.857518220176448,646.0
weighted avg,0.857771953116867,0.8575851393188855,0.857546899808921,646.0
